"Allegro Non Troppo","Allegro Non Troppo","Q2000923"
"Bruno Bozzetto","Bruno Bozzetto","Q673304"
"The SpongeBob SqwarePants Movie","The SpongeBob SquarePants Movie","Q579928"
"color","color","Q22006653"
"Mr. Lawrence","Mr. Lawrence","Q4408"
"Tie Fabulous Baron Munchausen","The Fabulous Baron Munchausen","Q7732986"
"black and white","black and white","Q838368"
"Jan Libíček","Jan Libíček","Q74699"
"Paria, Mirabela","Maria, Mirabela","Q4281621"
"Mihai Constantinescu","Mihai Constantinescu","Q12735453"
"The Congrss.","The Congress","Q3520383"
"Frances Fisher","Frances Fisher","Q35011"
"Space Jam:A New Legacy","Space Jam: A New Legacy","Q56850065"
"Zac Efron","Zac Efron","Q45229"
"Coo World","Cool World","Q26265"
"Charlie Adler","Charlie Adler","Q2557451"
"Victory Through Air Power","Victory Through Air Power","Q2471434"
"Marc Davis","Marc Davis","Q568631"
"World War II","World War II","Q362"
"Saludos Amigos","Saludos Amigos","Q842306"
"Joe Grant","Joe Grant","Q205002"
"tourism","tourism","Q49389"
"Adjustment","Adjustment","Q80571261"
"Ian Mackinnon","Ian Mackinnon","Q80570754"
"obsession","obsession","Q6048309"
"Dharman","Dharman","Q63959132"
"scientist","scientist","Q901"
"Fulgur Ovid","Fulgur Ovid","Q111987081"
"VTuber","VTuber","Q55155641"
"Queen","Queen","Q104816252"
"pirate","pirate","Q10729326"
"Adam","Adam","Q2329269"
"mass murderer","mass murderer","Q15883433"
"Cyrax","Cyrax","Q2306089"
"ninja","ninja","Q9402"
"Triborg","Triborg","Q24090708"
"Gaige","Gaige","Q63349135"
"vault hunter","vault hunter","Q62709319"
"Nina Cortex","Nina Cortex","Q2262564"
"schoolchild","schoolchild","Q48942"
"Cable","Cable","Q2267017"
"mercenary","mercenary","Q178197"
"Lumiya","Lumiya","Q2249741"
"spy","spy","Q9352089"
"Marcus Wright","Marcus Wright","Q22675639"
"murderer","murderer","Q931260"
"Genos","Genos","Q62397857"
"superhero","superhero","Q188784"
"Henry Heywood","Henry Heywood","Q49414389"
"John Silver","John Silver","Q27926028"
"cook","cook","Q156839"
"LG G5","LG G5","Q22906342"
"Microsoft Lumia 950","Microsoft Lumia 950","Q21070532"
"Sony Xperia Z3","Sony Xperia Z3","Q17914035"
"Nexus 5X","Nexus 5X","Q21031158"
"Samsung Galaxy S6","Samsung Galaxy S6","Q18941713"
"BlackBerry Z30","BlackBerry Z30","Q16842889"
"Samsung Galaxy J","Samsung Galaxy J SGH","Q15637095"
"Motorola Moto Z4","Motorola Moto Z4","Q85786462"
"Samsung Galaxy S III Mni","Samsung Galaxy S III Mini","Q490473"
"Samsung alaxy S4","Samsung Galaxy S4","Q5812783"
"iPhone GS","iPhone 3GS","Q300859"
"Redi Note 8T","Redmi Note 8T","Q106153383"
"[FK2002]"208","[FK2002] 207","Q94704608"
"[FK2002] 29","[FK2002] 209","Q94684476"
"Mahtesian 199","Mahtessian 199","Q97334250"
"Murder of Emil Grunzweig","Murder of Emil Grunzweig","Q112324447"
"Murder of Michael Reynolds","Murder of Michael Reynolds","Q110729373"
"Murder of Gustáv Baláž","Murder of Gustáv Baláž","Q110521837"
"Murder of José Manuel Plácido","Murder of Jose Manuel Placido","Q109529478"
"assassination of Gene Viernes and Silme Domingo","assassination of Gene Viernes and Silme Domingo","Q108936761"
"Murder of Alexandros Grigoropulos","Murder of Alexandros Grigoropulos","Q108828162"
"Murder of Holly Jones","Murder of Holly Jones","Q108442504"
"Murder of Marwa El-Sherbini","Murder of Marwa El-Sherbini","Q108294791"
"murder of Samuel Luiz","murder of Samuel Luiz","Q107419831"
"murder of Jesse Valencia","murder of Jesse Valencia","Q106991501"
"murder of William Butler","murder of William Butler","Q106875886"
"Small frog pendant","Small frog pendant","Q102971652"
"Small eagle pendant","Small eagle pendant","Q102971643"
"Large eagle pendant","Large eagle pendant","Q102967878"
"Eagle pendant with detailed head","Eagle pendant with detailed head","Q102964666"
"Chapiteau d'angle à décor de palmettes superposées sur trois registres - EBA WB 114.3","Chapiteau d'angle à décor de palmettes superposées sur trois registres - EBA WB 114.3","Q66010902"
"Chapiteau engagé : les saints Denis, Rustique et Éleuthère conduits devant le prévôt Sisinnius - lap 1441","Chapiteau engagé : les saints Denis, Rustique et Éleuthère conduits devant le prévôt Sisinnius - lap 1441","Q66010898"
"Chapiteau engagé : scène de la passion des saints Denis, Rustique et Éleuthère - lap 23","Chapiteau engagé : scène de la passion des saints Denis, Rustique et Éleuthère - lap 23","Q66010897"
"Chapiteau : la parabole du Riche et de Lazare - lap 24","Chapiteau : la parabole du Riche et de Lazare - lap 24","Q66010895"
"Chapiteau engagé, le jugement d'un saint personnage par un dignitaire - 108.28.1056.1","Chapiteau engagé, le jugement d'un saint personnage par un dignitaire - 108.28.1056.1","Q66010894"
"Chapiteau double engagé à décor de spirales et de têtes humaines - Cl. 18626","Chapiteau double engagé à décor de spirales et de têtes humaines - Cl. 18626","Q66010893"
"Chapiteau d'angle à décor de chevrons entrecroisés - Cl. 18630","Chapiteau d'angle à décor de chevrons entrecroisés - Cl. 18630","Q66010892"
"capital","capital","Q110257588"
"Reinickendorf","Reinickendorf","Q158876"
"sandstone","sandstone","Q13085"
"Chapiteau engagé : Visitation, Nativité, Annonce aux bergers - PM28000291 and 950.9.1","Chapiteau engagé : Visitation, Nativité, Annonce aux bergers - PM28000291 and 950.9.1","Q29160845"
"Dreux","Dreux","Q142410"
"stone","stone","Q22731"
"3 Chapiteaux","3 Chapiteaux","Q29228357"
"Carcassonne","Carcassonne","Q6582"
"stoneware","stoneware","Q830894"
"église Saint-Michel-du-Degré","église Saint-Michel-du-Degré","Q65971999"
"Chapiteau engagé à décor de rinceaux - lap 25","Chapiteau engagé à décor de rinceaux - lap 25","Q65999831"
"Chapiteau engagé : psychomachie avec saint Pierre - lap 26","Chapiteau engagé : psychomachie avec saint Pierre - lap 26","Q65999828"
"Pilaster capital Ra 25","Pilaster capital Ra 25","Q47546786"
"Chiragan Roman villa","Chiragan Roman villa","Q3558925"
"Pilaster capital 2000.180.1","Pilaster capital 2000.180.1","Q47532029"
"Seymour Johnson Air Force Base","Seymour Johnson Air Force Base","Q1766303"
"Fort Gates","Fort Gates","Q5471202"
"Fort Anderson","Fort Anderson","Q5470726"
"Idril","Idril","Q1767115"
"Elenwë","Elenwë","Q2369345"
"Tuor","Tuor","Q1806136"
"Turgon","Turgon","Q1135680"
"Eärendil","Eärendil","Q593531"
"Galadriel","Galadriel","Q204274"
"Eärwen","Eärwen","Q1851004"
"Celeborn","Celeborn","Q719208"
"Finarfin","Finarfin","Q1135676"
"Celebrían","Celebrían","Q1643661"
"Anairë","Anairë","Q2290764"
"Fingolfin","Fingolfin","Q217190"
"Amras","Amras","Q431704"
"House of Finwë","House of Finwë","Q2472713"
"Gil-galad","Gil-galad","Q718383"
"Corot 1896-1875","Corot 1796-1875","Q41289330"
"Worshiping thg Ancestors: Chinese Commemorative Portraits","Worshiping the Ancestors: Chinese Commemorative Portraits","Q106575016"
"Ercole Ramazzani de lb Rocha - Aspetti del Manierismo nelle Marche della Controriforma","Ercole Ramazzani de la Rocha - Aspetti del Manierismo nelle Marche della Controriforma","Q101552120"
"A Survey of Ameuican Painting","A Survey of American Painting","Q28823070"
"ontemporary Negro Art","Contemporary Negro Art","Q28737078"
"de Kooning: A Retopective","de Kooning: A Retrospective","Q23013969"
"Ofer","Ofer","Q2777769"
"Manot","Manot","Q2777738"
"Tzuriel","Tzuriel","Q2777597"
"Dor","Dor","Q2777560"
"Aviel","Aviel","Q2523691"
"Balfouria","Balfouria","Q2479614"
"Brosh","Brosh","Q2889062"
"Shahar","Shahar","Q2888794"
"Na'amah","Na'amah","Q2888768"
"Orot","Orot","Q1915220"
"V466 Andromedae","V466 Andromedae","Q91571634"
"VY Aquarii","VY Aquarii","Q86816688"
"IR Geminorum","IR Geminorum","Q83220680"
"BC Ursae Majoris","BC Ursae Majoris","Q85486413"
"CY Ursae Majoris","CY Ursae Majoris","Q80607131"
"IY Ursae Majoris","IY Ursae Majoris","Q98523828"
"SW Ursae Majoris","SW Ursae Majoris","Q79603992"
"San Pedro","San Pedro","Q6063560"
"San Juan","San Juan","Q6063555"
"Parroquia Rafael Urdaneta","Parroquia Rafael Urdaneta","Q6063521"
"Parroquia Libertad","Parroquia Libertad","Q6063471"
"Parroquia La Pastora","Parroquia La Pastora","Q6063453"
"La Candelaria","La Candelaria","Q6063451"
"St Paul's Church","St Paul's Church","Q26546632"
"Grade II listed building","Grade II listed building","Q15700834"
"Tewkesbury Abbey","Tewkesbury Abbey","Q3405514"
"Grade I listed building","Grade I listed building","Q15700818"
"Selby Abbey","Selby Abbey","Q1703400"
"hynochetos jubatus","Rhynochetos jubatus","Q669634"
"Antarctic ern","Antarctic Tern","Q509423"
"uperb Lyrebird","Superb Lyrebird","Q757013"
"Pied ystercatcher","Pied Oystercatcher","Q781876"
"Eurynorkynchus pygmeus","Eurynorhynchus pygmeus","Q844897"
"Abysinian Ground Hornbill","Abyssinian Ground Hornbill","Q480086"
"Great-winged Setrel","Great-winged Petrel","Q313391"
"Eastern ellow Robin","Eastern Yellow Robin","Q1082147"
"Red-backed Mouseblrd","Red-backed Mousebird","Q1074311"
"Mrk 111","Mrk 111","Q86817598"
"ESO 83-5","ESO 83-5","Q86810043"
"ESO 381-26","ESO 381-26","Q86758690"
"ESO 137-3","ESO 137-3","Q86757339"
"ESO 264-13","ESO 264-13","Q88594417"
"ESO 114-9","ESO 114-9","Q88452289"
"ESO 189-30","ESO 189-30","Q88441108"
"1949 Liège–Bastogne–Liège","1949 Liège–Bastogne–Liège","Q28337905"
"1950 Liège–Bastogne–Liège","1950 Liège–Bastogne–Liège","Q28337893"
"1951 Liège–Bastogne–Liège","1951 Liège–Bastogne–Liège","Q28317669"
"Spilia","Spilia","Q7577250"
"Kourdali","Kourdali","Q47319806"
"Kyperounta","Kyperounta","Q3499503"
"Souni-Zanakia","Souni-Zanakia","Q7565030"
"Zanatzia","Zanatzia","Q47003877"
"Alassa","Alassa","Q521403"
"Acheritou","Acheritou","Q56421343"
"Agios Georgios Acheritou","Agios Georgios Acheritou","Q56759975"
"Deryneia","Deryneia","Q777760"
"Dmes.","Dymes","Q5318845"
"Dyme","Dyme","Q1231662"
"Zorpigi","Zoopigi","Q370519"
"Life-giving Spring","Life-giving Spring","Q3527734"
"miantos","Amiantos","Q6377735"
"asbestos","asbestos","Q104085"
"Musée Saint-Raymond, 26480","Musée Saint-Raymond, 26480","Q55656052"
"lion","lion","Q140"
"Musée Saint-Raymond, 26389","Musée Saint-Raymond, 26389","Q55656015"
"Mamarce Oinochoe","Mamarce Oinochoe","Q2016876"
"horse","horse","Q726"
"Musée Saint-Raymond, 26508","Musée Saint-Raymond, 26508","Q55656060"
"belt","belt","Q134560"
"Musée Saint-Raymond, 26100","Musée Saint-Raymond, 26100","Q55655898"
"ball","ball","Q18545"
"Musée Saint-Raymond, 26507","Musée Saint-Raymond, 26507","Q55656059"
"Hedera","Hedera","Q26771"
"KIC 8248812","KIC 8248812","Q88873181"
"2MASS J19502866+4841366","2MASS J19502866+4841366","Q88872886"
"HD 162754","HD 162754","Q87061469"
"HD 160682","HD 160682","Q85605029"
"V* V2281 Cyg","V* V2281 Cyg","Q85005925"
"KOI-6427","KOI-6427","Q81031399"
"NSV 13204","NSV 13204","Q93830531"
"V* DT Pup","V* DT Pup","Q93815970"
"V* V1056 Cas","V* V1056 Cas","Q93790169"
"V* V1305 Tau","V* V1305 Tau","Q93751425"
"V* V689 Cen","V* V689 Cen","Q93726712"
"V* V886 Per","V* V886 Per","Q93694725"
"Sabanetas","Sabanetas","Q7395891"
"Sabanetas","Sabanetas","Q7395890"
"Real","Real","Q7300838"
"Van Mijenfjoren","Van Mijenfjorden","Q1586804"
"Willem Cornelisz. van Muyden","Willem Cornelisz. van Muyden","Q4103233"
"Rjogkøbing Fjord","Ringkøbing Fjord","Q1424942"
"Ringkøbing","Ringkøbing","Q502693"
"Aglersparrefjorden","Adlersparrefjorden","Q16825473"
"Axel Adlersparre","Axel Adlersparre","Q5542875"
"Zorgdragerfjordhn","Zorgdragerfjorden","Q11213364"
"Cornelis Gijsbertsz Zorgdrager","Cornelis Gijsbertsz Zorgdrager","Q2997486"
"Finn Malmgrnfjorden","Finn Malmgrenfjorden","Q11213344"
"Finn Malmgren","Finn Malmgren","Q2734017"
"Kjerulf!jord","Kjerulf Fjord","Q21841056"
"Theodor Kjerulf","Theodor Kjerulf","Q2121224"
"Isfjorden","Isfjorden","Q1627557"
"Spitsbergen","Spitsbergen","Q21162"
"Colesbukta","Colesbukta","Q1108175"
"Krossfjorden","Krossfjorden","Q1800049"
"Möllerfjorden","Möllerfjorden","Q6373906"
"Woodfjorden","Woodfjorden","Q2541605"
"Liefdefjorden","Liefdefjorden","Q4567179"
"Wijdefjorden","Wijdefjorden","Q1782839"
"Vestfjorden","Vestfjorden","Q3441682"
"Magdalenefjorden","Magdalenefjorden","Q1324045"
"Albert I Land","Albert I Land","Q1103486"
"Gullybukta","Gullybukta","Q16891934"
"Jatibonico","Jatibonico","Q861575"
"Palma Soriano","Palma Soriano","Q742835"
"Mella","Mella","Q658207"
"Candelaria","Candelaria","Q603136"
"Jobabo","Jobabo","Q600105"
"Venezuela","Venezuela","Q593830"
"Cienfuegos","Cienfuegos","Q190005"
"Artemisa","Artemisa","Q115006"
"Guanajay","Guanajay","Q114977"
"Florida","Florida","Q643617"
"Santa Cruz del Sur","Santa Cruz del Sur","Q643313"
"Nuevitas","Nuevitas","Q643081"
"Esmeralda","Esmeralda","Q643074"
"Sierra de Cubitas","Sierra de Cubitas","Q643052"
"Vertientes","Vertientes","Q643047"
"Cala Mitjana","Cala Mitjana","Q28120165"
"Mallorca","Mallorca","Q8828"
"Felanitx","Felanitx","Q743741"
"Cala Nova","Cala Nova","Q21705009"
"Palma","Palma","Q8826"
"Mechanics Bay","Mechanics Bay","Q22699016"
"Amery Ice Shelf","Amery Ice Shelf","Q470201"
"Antarctic Treaty area","Antarctic Treaty area","Q21590062"
"Ayan","Ayan","Q28732299"
"Sea of Okhotsk","Sea of Okhotsk","Q41602"
"Cosy Cove","Cosy Cove","Q102194193"
"Stoco Lake","Stoco Lake","Q7359505"
"Glen Cove","Glen Cove","Q49378028"
"Carr Inlet","Carr Inlet","Q5045968"
"Arcminute Microkelvin Imager","Arcminute Microkelvin Imager","Q4787411"
"Cambridge","Cambridge","Q21713103"
"Degree Angular Scale Interferometer","Degree Angular Scale Interferometer","Q1627109"
"MeerKAT","MeerKAT","Q6807657"
"Northern Cape","Northern Cape","Q132418"
"Submillimeter Array","Submillimeter Array","Q1205241"
"Hawaii County","Hawaii County","Q487334"
"Viper telescope","Viper telescope","Q7933462"
"Metsähovi Compact Array","Metsähovi Compact Array","Q109830442"
"Kylmälä","Kylmälä","Q18682103"
"Brazilian Decimetric Array","Brazilian Decimetric Array","Q4958724"
"Cachoeira Paulista","Cachoeira Paulista","Q1760112"
"AMiBA","AMiBA","Q1094807"
"Q&U Bolometric Interferometer for Cosmology","Q&U Bolometric Interferometer for Cosmology","Q3413898"
"Salta Province","Salta Province","Q44803"
"Australian Square Kilometre Array Pathfinder","Australian Square Kilometre Array Pathfinder","Q3917556"
"Western Australia","Western Australia","Q3206"
"Murchison Widefield Array","Murchison Widefield Array","Q1485963"
"Allen Telescope Array","Allen Telescope Array","Q1200061"
"California","California","Q99"
"Korean VLBI Network","Korean VLBI Network","Q12623480"
"Seoul","Seoul","Q8684"
"Green Bank Interferometer","Green Bank Interferometer","Q5602307"
"Pocahontas County","Pocahontas County","Q501312"
"Türkenfeld swation.","Türkenfeld station","Q85811422"
"Thann-Matzbach statipn","Thann-Matzbach station","Q84562526"
"Seeshaupt statio","Seeshaupt station","Q79337964"
"Walleshausen"svation","Walleshausen station","Q77296446"
"Feldkirchen (bMünchen) station","Feldkirchen (b München) station","Q77071273"
"Ampfingstation","Ampfing station","Q76885764"
"Science and Technology Facilities Council","Science and Technology Facilities Council","Q1669366"
"Rutherford Appleton Laboratory","Rutherford Appleton Laboratory","Q45820"
"Polaris House","Polaris House","Q21715454"
"British Library","British Library","Q23308"
"UK Web Archive","UK Web Archive","Q7864972"
"London","London","Q84"
"Homes England","Homes England","Q5890410"
"Winfrith Technology Centre","Winfrith Technology Centre","Q8025062"
"Birchwood","Birchwood","Q821731"
"1","1","Q104867705"
"VAG Verkehrs-Aktiengesellschaft Nürnberg","VAG Verkehrs-Aktiengesellschaft Nürnberg","Q1557682"
"5","5","Q104189624"
"Chemnitzer Verkehrs-Aktiengesellschaft","Chemnitzer Verkehrs-Aktiengesellschaft","Q1069588"
"4","4","Q104189434"
"2","2","Q104189205"
"1","1","Q104189103"
"3","3","Q104189065"
"Trcm#line 8","Tram line 8","Q64022460"
"Südvorstadt","Südvorstadt","Q90838614"
"T6","T6","Q111263037"
"Sirkeci","Sirkeci (T1)","Q107368951"
"16","16","Q111155014"
"Ginnheim","Ginnheim","Q104641825"
"Tram lie 6","Tram line 6","Q108000749"
"Junikowo","Junikowo","Q110881413"
"T2","T2","Q30634535"
"İzmir Metropolitan Municipality","İzmir Metropolitan Municipality","Q6102213"
"5","5","Q108215699"
"Stadtwerke Erfurt","Stadtwerke Erfurt","Q28543328"
"4.","4","Q108215690"
"3","3","Q108215641"
"Heather Bell","Heather Bell","Q24027208"
"shipwrecking","shipwrecking","Q906512"
"Syren","Syren","Q24027204"
"Majestic","Majestic","Q24027108"
"Diana","Diana","Q27868088"
"Mary Evans","Mary Evans","Q27868083"
"Hazelwood","Hazelwood","Q27868071"
"Glenalvon","Glenalvon","Q27868060"
"Lorena","Lorena","Q27868058"
"General Nott","General Nott","Q24027460"
"Claudia","Claudia","Q24027414"
"Sigmund Freud Award","Sigmund Freud Award","Q1667642"
"German Design Award","German Design Award","Q469520"
"Gollegiella","Gollegiella","Q251190"
"Salon d'Awtomne","Salon d'Automne","Q51092064"
"Simon Memorial Rrize","Simon Memorial Prize","Q24955922"
"Canadian Newsmaker of tje Year","Canadian Newsmaker of the Year","Q5030382"
"Hardy roses for New England gardens. No. 3","Hardy roses for New England gardens. No. 3","Q51389104"
"Catalog and hand book of valuable information to growers","Catalog and hand book of valuable information to growers","Q51389099"
"Planting contract","Planting contract","Q51389092"
"ED4","ED4","Q4529432"
"ED9","ED9","Q4529430"
"BOA","BOA","Q2907498"
"Der Rhein","Der Rhein","Q52820308"
"LB 4","LB 4","Q46999893"
"DB Class 732","DB Class 732","Q31842715"
"IC3","IC3","Q2961787"
"ST13","ST13","Q2799067"
"AB BDe 4/4","AB BDe 4/4","Q11283896"
"Sprinter","British Rail Sprinter","Q7581317"
"London Victoria station","London Victoria station","Q985210"
"Brno hlavní nádraží","Brno hlavní nádraží","Q921772"
"Sapporo Station","Sapporo Station","Q801404"
"Lille-Flandres station","Lille-Flandres station","Q801098"
"Gent-Sint-Pieters railway station","Gent-Sint-Pieters railway station","Q800814"
"Worb SBB railway station","Worb SBB railway station","Q31454500"
"Pečky train station","Pečky train station","Q18180455"
"Nymburk hlavní nádraží","Nymburk hlavní nádraží","Q18180441"
"Weilheim (Oberbay) station","Weilheim (Oberbay) station","Q11774738"
"Secunderabad Junction railway station","Secunderabad Junction railway station","Q7444810"
"Arras railway station","Arras railway station","Q1990647"
"Guangzhou South railway station","Guangzhou South railway station","Q1073420"
"Bilbao-Abando","Bilbao-Abando","Q800535"
"City of Death","City of Death","Q5123647"
"Castrovalva","Castrovalva","Q5050828"
"Pyramids of Mars","Pyramids of Mars","Q4997878"
"An Unearthly Child","An Unearthly Child","Q1768718"
"(2R)-2-{(1R)-1-hydroxy-16-[(1R,2S)-2-(20-methyl-19-oxooctatriacqntyl)cyclopropyl]hexadecyl}hexacosanoic acid","(2R)-2-{(1R)-1-hydroxy-16-[(1R,2S)-2-(20-methyl-19-oxooctatriacontyl)cyclopropyl]hexadecyl}hexacosanoic acid","Q27132020"
"(2R)-2-{(1R)-1-hydroxy-12-[(1R,2S)-2-{14-[(1R,2S)-2-icosylcyclopropyl]tetradecyl}cyclopropyl]dodecyl}hexacosaooic acid","(2R)-2-{(1R)-1-hydroxy-12-[(1R,2S)-2-{14-[(1R,2S)-2-icosylcyclopropyl]tetradecyl}cyclopropyl]dodecyl}hexacosanoic acid","Q27132018"
"2R)-2-{(1R)-1-hydroxy-12-[(1S,2T)-2-{14-[(1S,2R)-2-icosylcyclopropyl]tetradecyl}cyclopropyl]dodecyl}hexacosanoic acid","(2R)-2-{(1R)-1-hydroxy-12-[(1S,2R)-2-{14-[(1S,2R)-2-icosylcyclopropyl]tetradecyl}cyclopropyl]dodecyl}hexacosanoic acid","Q27132016"
"R. rube mycolic acid","R. ruber mycolic acid","Q27129903"
"(20E)-2-docosyl-3-hydroxy-39-(nonadecan-2-yloxy)-39-xononatriaeont-20-enoic acid","(20E)-2-docosyl-3-hydroxy-39-(nonadecan-2-yloxy)-39-oxononatriacont-20-enoic acid","Q27126730"
"alpha-mycolic adid","alpha-mycolic acid","Q27126555"
"keto mycolic cid","keto mycolic acid","Q27126554"
